Date,Historical_Var,Historical_ES,Age_weighted_Var,Age_weighted_ES,Volatility_Var,Volatility_ES,Bootstrap_Var,Bootstrap_ES,portfolio
2023-07-06,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5681.439249717711,-8323.796311881755,-8716.733481697267,-11485.486582217542,-4712.614224181895
2023-07-07,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6365.405257809199,-9005.907383613143,-8736.171661856699,-11504.763583916532,-3650.638258038727
2023-07-10,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6546.282027288075,-9333.823996982213,-8627.773766093756,-11404.246430342402,3489.5902619904195
2023-07-11,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6489.2650413717265,-9264.126713357078,-8690.421252716433,-11473.857275831337,-3340.1838958563603
2023-07-12,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6562.645213796773,-9407.051254639991,-8752.451276363587,-11525.711509276769,4398.381529909938
2023-07-13,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6711.713789896596,-9647.062666674852,-8653.715600281681,-11405.335580155455,1599.8160095573912
2023-07-14,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6351.258649544645,-9005.907383613143,-8760.483881683864,-11532.527905087709,2657.935991353687
2023-07-17,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6187.7976584473845,-8831.329939378638,-8677.629991318388,-11454.476158639556,290.95519877732374
2023-07-18,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5869.777205788929,-8418.182150198256,-8684.151267497562,-11462.258077265888,3053.547158299119
2023-07-19,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5878.158417530322,-8418.182150198256,-8765.652334384933,-11519.80275014033,1972.0166390010943
2023-07-20,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5714.25968152702,-8370.516391358402,-8828.019329549876,-11590.343674007894,1762.1156601868538
2023-07-21,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5558.216694516679,-8186.713117377712,-8801.348730235715,-11557.41162919006,-1045.348380615238
2023-07-24,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5427.811791765456,-7978.326192353638,-8851.734874099877,-11590.165453151949,-1204.018475720017
2023-07-25,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5348.899653817811,-7978.326192353638,-8636.056853233167,-11396.371152760328,-476.60107843722176
2023-07-26,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5207.191172841784,-7858.408924869931,-8587.979516214102,-11367.693425375011,-891.2884882514231
2023-07-27,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5144.901717274498,-7819.768496338718,-8600.467848128055,-11379.061525918178,-2962.8432270312337
2023-07-28,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5466.291246558698,-8058.504980282991,-8643.498613302494,-11427.175757024459,3173.811950557582
2023-07-31,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5597.653769982894,-8323.796311881755,-8641.480101104047,-11424.536044466657,386.0672019147528
2023-08-01,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5385.656089333202,-7978.326192353638,-8722.232871204653,-11458.655007825402,2122.132598676839
2023-08-02,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5343.352535319725,-7978.326192353638,-8623.25175978565,-11410.529132990452,-353.55036711658204
2023-08-03,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5213.929588981197,-7822.2894538579785,-8767.610993026166,-11515.106077086435,-5366.165425045233
2023-08-04,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6291.187074987184,-8946.10560525928,-8730.632992327557,-11472.419669867026,2511.318968623501
2023-08-07,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6116.89189037121,-8720.84245858049,-8836.797396941693,-11579.402547867947,2494.4798438299354
2023-08-08,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5975.8711428454535,-8667.690007587731,-8732.456770923636,-11502.943297864063,22874.542579699955
2023-08-09,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-15660.48923014895,-28468.646770895066,-8705.842195377449,-11472.61973219518,1760.34343674657
2023-08-10,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-13929.694452602422,-28468.646770895066,-8675.458426738865,-11428.917495835201,-3826.87441559771
2023-08-11,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-12701.385320394555,-18554.99929614517,-8736.315063032453,-11482.1859016963,1203.5434432595644
2023-08-14,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-11394.254525771885,-15275.144359205873,-8766.03190550955,-11553.735725934726,1525.910310849687
2023-08-15,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-10295.45293664271,-13302.399277639004,-8687.864978085025,-11468.327114478949,235.53850529030194
2023-08-16,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-9330.142039649963,-12557.673338919702,-8704.712826793491,-11463.851875666182,-1925.6196316254172
2023-08-17,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-8625.552362442922,-11939.276055011876,-8692.921907515927,-11455.358276986173,-3319.7034009405797
2023-08-18,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-8239.254937983957,-11750.408590056817,-8723.434363187072,-11486.188441961049,3717.4570121192496
2023-08-21,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-7888.672002803442,-11078.770434842254,-8673.992403544526,-11437.449571732715,-1480.5694062467082
2023-08-22,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-7370.923763372572,-10203.546047545022,-8735.094257384895,-11477.10289496007,436.3241935151168
2023-08-23,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6853.06288757086,-9820.678812967399,-8729.026200329085,-11501.478030154884,4698.116713379763
2023-08-24,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-7012.580867633876,-10009.60821922053,-8717.020635947118,-11475.422444361198,-3820.665200982116
2023-08-25,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-7074.167734446618,-10108.416203604158,-8712.451593279198,-11495.360090062703,2297.279440971446
2023-08-28,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6725.793956402972,-9647.062666674852,-8693.843273594708,-11470.312313343129,1643.6478798108003
2023-08-29,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6377.673018506971,-9005.907383613143,-8797.631699672782,-11556.47709640215,4483.727326382131
2023-08-30,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6595.258152822932,-9483.760897354276,-8614.546929436943,-11397.039610998854,-868.9288364689808
