Date,Normal_Var,Normal_ES,T_Var,T_ES,portfolio
2021-06-08,-7406.16761474282,-8528.149095820307,-7409.855373931384,-8528.93115277752,-822.3472571575456
2021-06-09,-7406.055841643037,-8528.305837021846,-7409.744483391696,-8529.08808114211,2870.0412005307176
2021-06-10,-7407.235500916634,-8529.87652930751,-7410.925427923213,-8530.659045990284,3785.087600740756
2021-06-11,-7428.89731368179,-8553.934331981012,-7432.595115893038,-8554.718518745343,-7481.660433880329
2021-06-14,-7428.048879013117,-8553.040850407393,-7431.746533162975,-8553.82500577259,-183.33272661412224
2021-06-15,-7430.083070418671,-8555.231651883003,-7433.781239318758,-8556.015916410424,-1908.2209167882982
2021-06-16,-7442.828521384416,-8569.148293589673,-7446.530539786024,-8569.93337447448,-5110.73756096487
2021-06-17,-7442.906908092248,-8569.227641491017,-7446.608929653133,-8570.012723045806,112.96969608253536
2021-06-18,-7447.06967000041,-8573.56798676427,-7450.77227524712,-8574.353192100341,-2157.8832729728547
2021-06-21,-7445.365413291628,-8572.108178275328,-7449.068821997382,-8572.893553999624,3127.5489386406794
2021-06-22,-7441.778304546545,-8568.268267568868,-7445.480882335949,-8569.053467082114,118.79250534409798
2021-06-23,-7446.894979216423,-8573.891999623642,-7450.599223615805,-8574.677552572095,-3778.9795107826967
2021-06-24,-7478.949876061036,-8611.87487109149,-7482.673604688326,-8612.664556027747,12483.507888514298
2021-06-25,-7485.0309282381295,-8618.2699611534,-7488.755689053664,-8619.0598649841,-2964.960549668721
2021-06-28,-7486.027448146381,-8619.277141290928,-7489.752244000247,-8620.067052552151,-401.2557217082677
2021-06-29,-7486.22181788568,-8619.267645942544,-7489.945943670242,-8620.057415103283,549.9980444256349
2021-06-30,-7486.36369457782,-8619.559465379483,-7490.088313198266,-8620.349339055108,2517.649632460533
2021-07-01,-7479.375458684639,-8610.747756125991,-7483.094083863346,-8611.536358782396,55.211267219700794
2021-07-02,-7479.030128553767,-8610.313279251886,-7482.748460722537,-8611.101819770161,3410.3836040324923
2021-07-06,-7479.110827392421,-8610.332990196568,-7482.828959104525,-8611.12148820433,1174.634796317257
2021-07-07,-7479.116875674453,-8610.329463688033,-7482.834975915876,-8611.11795502186,1554.5886048090088
2021-07-08,-7479.396027116966,-8610.528729497017,-7483.11386478812,-8611.317165148004,715.1177113740902
2021-07-09,-7477.987473068009,-8609.005607759766,-7481.704934174975,-8609.793963553411,-1134.6168387136283
2021-07-12,-7477.724903386833,-8608.364604934557,-7481.44112064947,-8609.152696948206,408.56832890253844
2021-07-13,-7478.258654310886,-8608.947684141172,-7481.975033707061,-8609.73581053821,-2326.2412552388196
2021-07-14,-7477.362361091427,-8608.101342425414,-7481.078904669559,-8608.889503640248,1461.9482280958507
2021-07-15,-7480.627227596658,-8611.556071838259,-7484.344395221349,-8612.344365393606,-1903.9197570184324
